AdaBoostClassifier,DecisionTreeClassifier,FakeAlgorithm,GaussianNB,KerasAlgorithm,LightGBMAlgorithm,LinearSVC,MLPClassifier,NearestCentroid,RandomForestClassifier,SGDClassifier,SVC,XGBoostGbtreeAlgorithm,drive_csv,failure,file,lines,ok,size,test,train,validate,winner,winner_f_beta
0.4994903160040775,0.0,0.4806980433632999,0.4893395735829433,0.0,0.0,0.0,0.0,0.08651162790697675,0.0,0.0,0.0,0.0,Hitachi HDS723020BLA642.csv,3,drives_minified\Hitachi HDS723020BLA642.csv,9621,9617,195003,1,1,1,AdaBoostClassifier,0.4994903160040775
0.0,0.4996127033307514,0.4760746147607461,0.4992248062015504,0.0007733952049497294,0.0,0.0,0.0,0.3876777251184834,0.0,0.0,0.0,0.0,ST4000DM005.csv,5,drives_minified\ST4000DM005.csv,13291,13285,1412413,1,3,1,DecisionTreeClassifier,0.4996127033307514
0.4996541228555617,0.4994117239947402,0.4783643444396365,0.0,0.0,0.0,0.2272656738448457,0.0,0.34960426390266525,0.0,0.0,0.0,0.0,ST320LT007.csv,89,drives_minified\ST320LT007.csv,72220,72130,10665867,9,71,9,AdaBoostClassifier,0.4996541228555617
0.0,0.499679555650502,0.4804791481810115,0.4963440860215053,0.0,0.0,0.0,0.0,0.423842890524448,0.4997864160615122,0.0,0.0,0.0,WDC WD800BB.csv,12,drives_minified\WDC WD800BB.csv,23657,23644,1057641,1,9,1,RandomForestClassifier,0.4997864160615122
0.0,0.4998447847682119,0.4805480924234282,0.0,0.0,0.0,0.495748787230713,0.0,0.2966238080327564,0.0,0.0,0.0,0.0,ST4000DM001.csv,34,drives_minified\ST4000DM001.csv,96120,96085,10243900,3,27,3,DecisionTreeClassifier,0.4998447847682119
0.0,0.4998485919047138,0.4792433000525487,0.4997981021603069,0.4979227885297397,0.0,0.0,0.0,0.3403414662394637,0.0,0.0,0.0,0.0,ST3160318AS.csv,16,drives_minified\ST3160318AS.csv,48930,48913,5413401,2,12,2,DecisionTreeClassifier,0.4998485919047138
0.0,0.0,0.4794555726759117,0.4998766345916605,0.0001644195988161789,0.0,0.0,0.0,0.38681052737723104,0.0,0.0,0.0,0.0,WDC WD10EACS.csv,8,drives_minified\WDC WD10EACS.csv,60952,60943,1108583,1,6,1,GaussianNB,0.4998766345916605
0.0,0.4998886000742666,0.4796785659094421,0.4888416578108396,0.4991819128365313,0.0,0.0,0.4994797086368366,0.3988036782430141,0.0,0.0,0.0,0.0,WDC WD20EFRX.csv,15,drives_minified\WDC WD20EFRX.csv,67423,67407,2926660,1,12,1,DecisionTreeClassifier,0.4998886000742666
0.0,0.4998952440812906,0.478194338179036,0.4958284929770832,0.4960945746252902,0.0,0.0,0.0,0.2712970224730853,0.0,0.0,0.0,0.0,ST250LM004 HN.csv,12,drives_minified\ST250LM004 HN.csv,48220,48207,3284068,1,9,1,DecisionTreeClassifier,0.4998952440812906
0.0,0.4999110056363097,0.48017267961763793,0.2463255034106625,0.0,0.0,0.487006268638549,0.0,0.3231502140948494,0.0,0.0,0.0,0.0,ST9250315AS.csv,17,drives_minified\ST9250315AS.csv,84289,84271,6965522,2,13,2,DecisionTreeClassifier,0.4999110056363097
0.0,0.4999159169259228,0.4797270699383283,0.0,0.4998948917384906,0.0,0.0,0.0,0.3342858111014856,0.0,0.0,0.0,0.0,ST32000542AS.csv,33,drives_minified\ST32000542AS.csv,119310,119276,3028750,3,26,3,DecisionTreeClassifier,0.4999159169259228
0.0,0.4999217894572188,0.4822466321850032,0.0,0.0004691654170713252,0.0,0.06606537305519744,0.0,0.3346514047866805,0.0,0.0,0.0,0.0,ST3160316AS.csv,12,drives_minified\ST3160316AS.csv,63967,63954,7067851,1,9,1,DecisionTreeClassifier,0.4999217894572188
0.4999331282599973,0.0,0.4799360178037416,0.4993304767005892,0.0,0.4998662386302836,0.4994645247657296,0.0,0.4984574111334675,0.0,0.0,0.0,0.0,TOSHIBA DT01ACA300.csv,7,drives_minified\TOSHIBA DT01ACA300.csv,74178,74170,1332672,1,5,1,AdaBoostClassifier,0.4999331282599973
0.4999146320641967,0.4999146320641967,0.4789801363771124,0.4822343998585822,0.05069291761566723,0.4998861696072852,0.4994303292696821,0.4999146320641967,0.014364310102922715,0.0,0.4999430912815843,0.0,0.0,HGST HDS5C4040ALE630.csv,6,drives_minified\HGST HDS5C4040ALE630.csv,87655,87648,4232731,1,4,1,SGDClassifier,0.4999430912815843
0.0,0.499937755203665,0.4789607492152437,0.4993706145543826,0.4983953746831333,0.4999128529455705,0.4999688795389193,0.0,0.22744001480982134,0.0,0.0,0.0,0.0,WDC WD5000LPVX.csv,45,drives_minified\WDC WD5000LPVX.csv,400901,400855,19825397,4,36,4,LinearSVC,0.4999688795389193
0.4999856015665496,0.0,0.4785579146520916,0.0,2.8795208477309368e-05,0.0,0.0,0.0,0.4243921035620162,0.0,0.0,0.0,0.0,ST10000NM0086.csv,3,drives_minified\ST10000NM0086.csv,344216,344212,37945215,1,1,1,AdaBoostClassifier,0.4999856015665496
0.0,0.4999049093922352,0.4787693440371518,0.5029789578855315,0.00016295491580662683,0.4999524592167996,0.0,0.0,0.5026929936050573,0.0,0.0,0.0,0.0,WDC WD10EADS.csv,64,drives_minified\WDC WD10EADS.csv,370506,370441,6740104,6,51,6,GaussianNB,0.5029789578855315
0.0,0.4999830334335617,0.4793304471885775,0.5029648817686333,0.4999872751831196,0.4999769063349223,0.5031499102520102,0.4921480841400108,0.5035716084858107,0.0,0.0,0.0,0.0,Hitachi HDS722020ALA330.csv,235,drives_minified\Hitachi HDS722020ALA330.csv,5306512,5306276,99028650,23,188,23,NearestCentroid,0.5035716084858107
0.0,0.4999142177887797,0.4785853010324031,0.5090250101514444,0.00014700837947763019,0.0,0.0,0.0,0.4351364819223741,0.0,0.0,0.0,0.0,TOSHIBA MQ01ABF050.csv,33,drives_minified\TOSHIBA MQ01ABF050.csv,204989,204955,10869312,3,26,3,GaussianNB,0.5090250101514444
0.0,0.0,0.4797267191445122,0.5187251438568695,0.00014271442842871414,0.0,0.0,0.0,0.3759130589702477,0.0,0.0,0.0,0.0,WDC WD40EFRX.csv,4,drives_minified\WDC WD40EFRX.csv,71441,71436,3484180,1,2,1,GaussianNB,0.5187251438568695
0.4998012659924095,0.4995739478784877,0.4800945107877586,0.5169968140522391,0.0007803886516971185,0.0,0.5264005682494874,0.5151532755732382,0.3333884753863747,0.4998035381306369,0.4997660452100596,0.0,0.0,ST3000DM001.csv,1720,drives_minified\ST3000DM001.csv,2205149,2203428,56189869,172,1376,172,LinearSVC,0.5264005682494874
0.5191442879799044,0.5284572662117963,0.479388940155073,0.0,0.0007677694452424745,0.4999152492536746,0.4999117894292603,0.0,0.3363675268866847,0.499923898605269,0.0,0.0,0.499923898605269,ST31500541AS.csv,397,drives_minified\ST31500541AS.csv,1445218,1444820,37154148,40,317,40,DecisionTreeClassifier,0.5284572662117963
0.0,0.4999391653485825,0.4786910197869103,0.4979232836550208,0.5390654205607477,0.0,0.0,0.0,0.35187132043734226,0.4999391653485825,0.0,0.0,0.0,WDC WD1600AAJS.csv,20,drives_minified\WDC WD1600AAJS.csv,122704,122683,5648754,2,16,2,KerasAlgorithm,0.5390654205607477
0.5382789456435226,0.4996879993912183,0.4789817024183156,0.0,0.0,0.0,0.0,0.0,0.3398704894596508,0.4998250232034448,0.4998098020419653,0.0,0.5433184994466235,ST31500341AS.csv,216,drives_minified\ST31500341AS.csv,330432,330215,8653235,22,172,22,XGBoostGbtreeAlgorithm,0.5433184994466235
0.5476141783686712,0.4999935930784746,0.4790772129573757,0.5047390154844698,0.0,0.5232453065052453,0.5057839441033434,0.4999958995891388,0.5064045389292854,0.4999951307546152,0.4999928242368576,0.0,0.0,HGST HMS5C4040ALE640.csv,146,drives_minified\HGST HMS5C4040ALE640.csv,9751915,9751768,172066594,15,116,15,AdaBoostClassifier,0.5476141783686712
0.5029030855890151,0.5325822742742069,0.4792728320280927,0.5223076894398181,0.0,0.5509525440674771,0.528401345362274,0.0,0.36906294115849303,0.0,0.0,0.0,0.5206289982024229,ST4000DM000.csv,3188,drives_minified\ST4000DM000.csv,40673227,40670038,635068446,319,2550,319,LightGBMAlgorithm,0.5509525440674771
0.0,0.4999525860365878,0.4795790625434999,0.5364351872201261,0.5519133849502144,0.4999624646871728,0.0,0.0,0.35036806772633977,0.4999585132737768,0.0,0.0,0.0,WDC WD30EFRX.csv,171,drives_minified\WDC WD30EFRX.csv,1265072,1264900,22320579,17,136,17,KerasAlgorithm,0.5519133849502144
0.0,0.5666565038267002,0.4792129177833899,0.4974554557433157,0.08508374829458852,0.535704122890209,0.4952671430431541,0.0,0.4775628092679508,0.0,0.0,0.0,0.5476116209805553,ST8000DM002.csv,187,drives_minified\ST8000DM002.csv,6387927,6387739,698445353,19,149,19,DecisionTreeClassifier,0.5666565038267002
0.549991453494666,0.5384501430561659,0.4790525496283071,0.4990242913862674,0.4907557706632829,0.5113228004234506,0.4999506162521914,0.0,0.4983278898446224,0.5666604942198993,0.0,0.0,0.5666604942198993,ST8000NM0055.csv,140,drives_minified\ST8000NM0055.csv,5268760,5268619,569524555,14,112,14,RandomForestClassifier,0.5666604942198993
